"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"70","gw152a332","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"71","gw152a334","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"72","gw152a335","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"73","gw153a336","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"74","gw153a337","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"75","gw154a338","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"76","gw154a339","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"77","gw155a343","Site2","APP-PS1","C57BL6","Female","4","Phase I",2
"78","gw155a344","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"79","gw155a345","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"80","gw156a346","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"81","gw156a347","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"82","lt80x142","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"83","lt81x143","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"84","lt82x144","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"85","lt83x145","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"86","lt84x146","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"87","lt85x147","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"88","lt86x148","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"89","lt87x149","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"90","lt88x150","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"91","lt89x151","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"92","lt90x152","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"93","lt91x153","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"94","lt92x154","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"95","lt264f326","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"96","lt265f327","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"97","lt266f328","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"98","lt267f329","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"99","lt268f330","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"100","lt269f331","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"101","lt270f332","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"102","lt271f333","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"103","lt272f334","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"104","lt273f335","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"105","lt274f336","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"106","lt275f337","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"107","lt276f338","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"108","lt277f339","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"109","lt278f340","Site1","5xFAD","5xFAD","Male","4","Phase I",1
"110","lt367a429","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"111","lt368a430","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"112","lt369a431","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"113","lt370a432","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"114","lt373a435","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"115","lt374a436","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"116","lt375a437","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"117","lt376a438","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"118","lt377a439","Site1","APP-PS1","APPPS1","Male","4","Phase I",1
"119","lw65x127","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"120","lw66x128","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"121","lw67x129","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"122","lw68x130","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"123","lw69x131","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",15
"124","lw70x132","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"125","lw71x133","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"126","lw72x134","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"127","lw73x135","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"128","lw74x136","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"129","lw75x137","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"130","lw76x138","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"131","lw77x139","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"132","lw78x140","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase I",1
"133","lw248f310","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"134","lw249f311","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"135","lw250f312","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"136","lw251f313","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"137","lw253f315","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"138","lw254f316","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"139","lw255f317","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"140","lw256f318","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"141","lw257f319","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"142","lw258f320","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"143","lw259f321","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"144","lw260f322","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"145","lw261f323","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"146","lw262f324","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"147","lw263f325","Site1","5xFAD","B6SJLF1/J","Male","4","Phase I",1
"148","lw353a415","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"149","lw354a416","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"150","lw355a417","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
