"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"27","LON5C5FAD10MF","lt47f094","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-15,NA,2005.8985,50,61.9,68.45,65.15,60.65,61.5,35,42.5,46.6665,48.75,48
"28","LON5C5FAD10MF","lt48f095","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-24,NA,1973.952,50,68.35,70.6,70,65.4,65.05,5,15,16.667,20,23
"29","LON5C5FAD10MF","lt48f096","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-27,NA,1341.249,50,45,62.85,64.4,68.4,69.7,65,57.5,58.3335,52.5,49
"30","GUE5C5FAD10MF","gt01f001","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,2351.468,50,64.25,71.25,71.15,70.2,67.95,30,30,25,28.75,28
"31","GUE5C5FAD10MF","gt01f002","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-19,NA,2192.7025,50,63.35,66.4,60.7,54.05,51.35,45,40,41.667,41.25,37
"32","GUE5C5FAD10MF","gt02f003","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-03,NA,2440.3395,50,56.45,68.35,75.55,71.95,66.75,15,20,20,23.75,27
"33","GUE5C5FAD10MF","gt03f005","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-19,NA,1170.2365,50,77.85,71.6,62.6,64.7,66.75,15,12.5,15,15,16
"34","GUE5C5FAD10MF","gt04f007","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-08,NA,1918.0465,50,72.25,68.65,74,75.45,69.75,25,35,33.3335,38.75,37
"35","GUE5C5FAD10MF","gt05f008","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,1467.603,50,64.6,59.95,72.35,69.15,63.5,30,32.5,35,32.5,36
"36","GUE5C5FAD10MF","gt05f009","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-03,NA,1111.242,50,82.85,74.25,71.65,72.95,71,40,35,33.333,31.25,33
"37","GUE5C5FAD10MF","gt06f010","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-08,NA,1676.047,50,47.65,52.45,50.85,53.65,47.05,20,22.5,21.6665,21.25,22
"38","GUE5C5FAD10MF","gt07f011","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,2037.329,50,86.1,86.4,80.2,79.4,79.5,25,25,23.3335,23.75,26
"39","GUE5C5FAD10MF","gt07f012","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-20,NA,3600,37,68.35,70.6,65.65,59.65,NA,5,15,13.3335,16.155,NA
"40","LON5CAPP10MF","lt188a250","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1323.25,50,88.9,82.35,80.95,77.6,79.9,20,20,30,33.75,31
"41","LON5CAPP10MF","lt195a257","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-19,NA,1338.0065,50,86.65,81.65,69.05,68.45,71.25,20,30,31.6665,33.75,31
"42","LON5CAPP10MF","lt196a258","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,1270.437,50,74.45,80.95,77.5,72.7,68.45,30,35,33.333,31.25,27
