"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"24","LON5C5FAD10MF","lt43f086","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-15,NA,3600,47.5,46.25,37.65,49.495,58.79,62.9194444444444,62.09535,65.72735,70.05405,65.4251,62.3157222222222
"25","LON5C5FAD10MF","lt44f087","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-24,NA,3084.6215,46,13.585,64.21,80.275,80.21,82.63,77.5794,58.4367,54.22635,60.03125,61.11385
"26","LON5C5FAD10MF","lt44f088","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-27,NA,2058.968,50,52.585,50.84,49.525,52.615,52.38,42.5019,43.2991,37.9125,29.7734,25.54135
"27","LON5C5FAD10MF","lt47f094","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-15,NA,2005.8985,50,54.7,66.28,66.655,62.47,61.565,27.363,36.4578,43.63035,47.00075,46.90035
"28","LON5C5FAD10MF","lt48f095","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-24,NA,1973.952,50,54.565,71.35,71.5,68.325,64.85,5.4782,9.4789,16.33975,18.9414,21.7147
"29","LON5C5FAD10MF","lt48f096","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-27,NA,1341.249,50,28.17,60.93,66.27,67.07,68.475,68.62895,60.76395,58.74145,54.00675,50.41565
"30","GUE5C5FAD10MF","gt01f001","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,2351.468,50,35.73,65.29,71.055,70.745,68.065,24.1349,31.20325,26.6906,26.11325,27.7239
"31","GUE5C5FAD10MF","gt01f002","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-19,NA,2192.7025,50,55.255,67.565,62.48,56.18,52.575,58.71435,40.1044,41.74585,41.73235,39.98605
"32","GUE5C5FAD10MF","gt02f003","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-03,NA,2440.3395,50,62.26,64.215,70.925,73.565,69.535,21.1785,17.5542,20.83125,21.70265,25.12895
"33","GUE5C5FAD10MF","gt03f005","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-19,NA,1170.2365,50,81.005,78.74,66.845,64.02,65.97,7.03375,11.9423,15.05115,14.6442,14.79725
"34","GUE5C5FAD10MF","gt04f007","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-08,NA,1918.0465,50,61.465,70.695,75.66,75.49,71.24,33.61505,32.8397,32.31335,35.05305,38.4757
"35","GUE5C5FAD10MF","gt05f008","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,1467.603,50,49.365,58.97,67.765,70.175,65.985,43.30745,27.3778,33.30675,33.28665,35.6902
"36","GUE5C5FAD10MF","gt05f009","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-03,NA,1111.242,50,71.275,74.38,72.36,71.83,70.79,29.69645,34.752,35.926,32.30595,32.6043
"37","GUE5C5FAD10MF","gt06f010","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-08,NA,1676.047,50,50.91,52.985,50.405,51.67,49.955,34.19835,20.06205,22.96375,20.9898,21.39965
"38","GUE5C5FAD10MF","gt07f011","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,2037.329,50,87.605,87.93,83.275,79.065,79.285,26.5516,25.99755,23.49515,22.1249,25.6945
"39","GUE5C5FAD10MF","gt07f012","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-20,NA,3600,37,67.28,68.54,67.475,62.71875,NA,14.64485,9.8841,14.3684,15.935625,NA
"40","LON5CAPP10MF","lt188a250","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1323.25,50,92.545,84.465,80.72,77.705,79.315,17.5317,22.67755,26.79675,31.65845,31.0253
"41","LON5CAPP10MF","lt195a257","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-19,NA,1338.0065,50,60.605,80.47,72.595,67.24,71.26,35.6627,28.4793,29.67285,31.9097,31.6619
"42","LON5CAPP10MF","lt196a258","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,1270.437,50,62.44,78.08,79.265,74.345,69.285,39.5715,30.9549,36.64675,32.43715,28.52135
"43","LON5CAPP10MF","lt200a262","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1448.1365,50,52.83,75.01,79.8,76.05,76.58,66.9009,41.4026,30.0515,31.8392,29.68105
"44","LON5CAPP10MF","lt204a266","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,2585.914,50,10.83,58.15,65.85,73.105,73.35,78.2044,65.3901,59.11325,57.6447,57.4643
"45","LON5CAPP10MF","lt207a269","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,1283.13,50,42.96,65.145,77.39,80.075,76.715,24.24605,16.86105,17.90265,20.6954,27.6344
"46","LON5CAPP10MF","lt211a273","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1935.4815,50,68.51,64.8,68.955,68.2,66.9,49.01385,53.7197,42.5805,38.97055,39.1399
"47","LON5CAPP10MF","lt212a274","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-18,NA,1617.4195,50,71.025,79.51,73.12,72.105,70.295,39.496,26.62805,29.78065,38.2195,36.41595
"48","GUE5CAPP10MF","gt115a253","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-02-27,NA,1172.764,50,72.805,89.89,82.095,78.215,78.4,23.4702,13.37545,11.71055,17.9262,20.95095
"49","GUE5CAPP10MF","gt117a263","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-02-22,NA,1312.1015,50,78.58,81.53,83.53,77.25,78.405,13.78175,24.1693,15.88995,12.291,10.2318
"50","GUE5CAPP10MF","gt172a401","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-10-13,NA,2101.7745,50,38.925,73.765,70.42,66.965,74.3,61.62305,53.27125,57.0281,58.62815,53.5742
"51","GUE5CAPP10MF","gt172a402","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-09-26,NA,2049.0415,50,56.1,78.005,78.395,78.45,80.51,32.1626,20.1968,20.3922,22.3985,24.99465
"52","LON5C3XTG10MF","lw15x030","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,1441.074,50,75.93,70.7,80.005,78.22,78.665,44.006,45.4019,43.23295,39.70075,34.7762
"53","LON5C3XTG10MF","lw16x031","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1111.2795,50,63.145,73.035,69.645,63.355,61.895,22.60115,23.95385,27.10795,25.23095,22.5875
"54","LON5C3XTG10MF","lw16x032","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-22,NA,1206.725,50,75.32,88.465,87.775,89.625,90.37,48.94445,39.2901,36.15135,33.6532,35.2409
"55","LON5C3XTG10MF","lw19x037","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-09-29,NA,1231.6845,50,48.33,72.615,70.98,68.525,66.945,46.07935,18.19605,26.6515,31.5342,34.36485
"56","LON5C3XTG10MF","lw19x038","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,1152.035,50,60.9,59.18,64.04,64.66,65.74,29.69635,43.26305,42.31615,46.00605,45.7792
"57","LON5C3XTG10MF","lw20x039","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1631.594,50,74.685,79.765,83.355,79.94,75.04,11.3254,10.32925,12.5744,11.0824,16.5434
"58","LON5C3XTG10MF","lw23x046","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,2272.364,50,58.185,67.335,70.18,65.755,62.88,10.13685,23.34815,21.71645,22.1999,25.85035
"59","LON5C3XTG10MF","lw24x047","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1032.32,50,57.235,81.675,86.335,85.39,86.36,52.70235,23.3922,19.6243,15.5955,12.9988
"60","LON5C3XTG10MF","lw24x048","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-22,NA,1367.2605,50,50,62.415,72.815,76.465,74.35,46.20245,43.50385,37.9045,30.4183,30.57485
"61","GUE5C3XTG10MF","gw01x001","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,2109.5495,50,84.18,90.075,89.975,86.56,81.905,44.21435,67.25615,67.65665,66.712,68.1354
"62","GUE5C3XTG10MF","gw04x006","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-14,NA,1718.901,50,58.02,84.675,88.505,87.895,88.52,65.7639,48.8073,48.8063,53.13815,52.1444
"63","GUE5C3XTG10MF","gw05x007","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-20,NA,1264.8035,50,70.945,70.74,68.915,72.265,71.18,12.1012,16.6012,19.3861,23.5875,27.2354
"64","GUE5C3XTG10MF","gw05x008","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,1058.419,50,78.195,85.165,89.015,91.84,93.79,41.8908,31.62025,27.7729,26.6115,25.25075
"65","GUE5C3XTG10MF","gw06x009","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-13,NA,2049.088,50,63.505,68.635,64.225,63.18,65.48,11.4424,32.22355,32.5313,27.5966,27.88265
"66","GUE5C3XTG10MF","gw07x010","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-20,NA,2084.833,50,50.395,55.485,60.415,64.615,66.02,50.10515,36.8931,32.4596,33.27535,33.482
"67","GUE5C3XTG10MF","gw08x011","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,1191.042,50,83.58,95.16,91.395,86.475,86.87,18.35915,25.8208,31.42095,37.5529,37.8132
"68","GUE5C3XTG10MF","gw58x097","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-25,NA,1215.512,50,81.115,74.515,74.315,73.735,76.135,2.18055,9.56675,10.36095,9.5503,9.239
"69","GUE5C3XTG10MF","gw58x098","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-30,NA,1384.8005,50,74.31,77.24,71.335,70.64,67.625,46.5793,20.03215,22.86975,26.1249,32.16675
"70","GUE5C3XTG10MF","gw58x099","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-13,NA,3600,42,64.84,90.33,87.665,88.2,100,68.0953,72.67725,74.5417,74.3850166666667,72.77925
"71","GUE5C3XTG10MF","gw59x101","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-25,NA,1029.262,50,76.075,78.59,79.385,78.875,77.335,1.05555,3.34385,1.9862,2.83555,5.7969
"72","GUE5C3XTG10MF","gw59x102","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-30,NA,1087.032,50,60.95,76.03,78.41,77.275,78.87,4.7282,12.28885,10.60945,13.2299,12.6578
"73","GUE5C3XTG10MF","gw60x103","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-13,NA,1694.998,50,52.595,64.3,64.745,66.72,68.745,25.09325,22.35265,27.68285,26.7275,29.51705
"74","GUE5C3XTG10MF","gw60x104","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-18,NA,1192.0905,50,75.235,80.315,73.21,74.06,70.665,40.89085,28.1342,26.08875,22.2154,20.6735
"75","LON5C5FAD10MF","lw37f073","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-05,NA,1493.6055,50,55.92,66.185,66.1,69.59,69.255,58.26985,54.7281,53.42095,49.58095,45.95915
"76","LON5C5FAD10MF","lw37f074","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,1890.846,50,55,84.645,78.605,77.545,75.715,86.26595,68.3568,62.93425,62.40405,61.6152
"77","LON5C5FAD10MF","lw41f081","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-05,NA,1464.93,50,68.155,74.855,74.225,72.985,72.73,55.119,36.02655,33.767,35.3454,37.9854
"78","LON5C5FAD10MF","lw41f082","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,2050.178,50,65.275,71.625,66.605,66.495,71.77,35.44645,33.37815,34.81285,41.21245,38.66635
"79","LON5C5FAD10MF","lw42f084","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-27,NA,1744.2635,50,71.035,72.86,74.18,73.845,67.975,33.55155,45.3857,55.92895,54.6861,54.4211
"80","LON5C5FAD10MF","lw45f089","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-12-16,NA,3600,40.5,64.51,67.18,65.905,63.21,59.9222222222222,39.5218,48.29685,50.1178,52.94185,51.8976666666667
"81","LON5C5FAD10MF","lw45f090","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-15,NA,2665.705,43.5,39.875,64.575,66.41,62.7564285714286,66.21,26.996,21.87335,24.84365,26.0573142857143,21.8223
