"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Day"
"289","gt04x007","Site2","3xTG-AD","3xTG-AD","Female","4","4",7
"290","gt04x008","Site2","3xTG-AD","3xTG-AD","Female","4","4",29
"291","gt05x009","Site2","3xTG-AD","3xTG-AD","Female","4","4",9
"292","gt05x010","Site2","3xTG-AD","3xTG-AD","Female","4","4",11
"293","gt06x011","Site2","3xTG-AD","3xTG-AD","Female","4","4",11
"294","lt39f078","Site1","5xFAD","5xFAD","Female","4","4",2
"295","lt40f079","Site1","5xFAD","5xFAD","Female","4","4",4
"296","lt40f080","Site1","5xFAD","5xFAD","Female","4","4",4
"297","lt43f085","Site1","5xFAD","5xFAD","Female","4","4",5
"298","lt43f086","Site1","5xFAD","5xFAD","Female","4","4",5
"299","lt44f087","Site1","5xFAD","5xFAD","Female","4","4",3
"300","lt44f088","Site1","5xFAD","5xFAD","Female","4","4",3
"301","lt47f094","Site1","5xFAD","5xFAD","Female","4","4",12
"302","lt48f095","Site1","5xFAD","5xFAD","Female","4","4",13
"303","lt48f096","Site1","5xFAD","5xFAD","Female","4","4",7
"304","gt01f001","Site2","5xFAD","5xFAD","Female","4","4",8
"305","gt01f002","Site2","5xFAD","5xFAD","Female","4","4",8
"306","gt02f003","Site2","5xFAD","5xFAD","Female","4","4",4
"307","gt03f005","Site2","5xFAD","5xFAD","Female","4","4",3
"308","gt04f007","Site2","5xFAD","5xFAD","Female","4","4",8
"309","gt05f008","Site2","5xFAD","5xFAD","Female","4","4",7
"310","gt05f009","Site2","5xFAD","5xFAD","Female","4","4",4
"311","gt06f010","Site2","5xFAD","5xFAD","Female","4","4",7
"312","gt07f011","Site2","5xFAD","5xFAD","Female","4","4",8
"313","gt07f012","Site2","5xFAD","5xFAD","Female","4","4",14
"314","lt187a249","Site1","APP-PS1","APPPS1","Female","4","4",3
"315","lt188a250","Site1","APP-PS1","APPPS1","Female","4","4",3
"316","lt191a253","Site1","APP-PS1","APPPS1","Female","4","4",6
"317","lt195a257","Site1","APP-PS1","APPPS1","Female","4","4",9
"318","lt196a258","Site1","APP-PS1","APPPS1","Female","4","4",7
"319","lt199a261","Site1","APP-PS1","APPPS1","Female","4","4",3
"320","lt200a262","Site1","APP-PS1","APPPS1","Female","4","4",6
"321","lt203a265","Site1","APP-PS1","APPPS1","Female","4","4",3
"322","lt204a266","Site1","APP-PS1","APPPS1","Female","4","4",4
"323","lt207a269","Site1","APP-PS1","APPPS1","Female","4","4",3
"324","lt208a270","Site1","APP-PS1","APPPS1","Female","4","4",7
"325","lt211a273","Site1","APP-PS1","APPPS1","Female","4","4",3
"326","lt212a274","Site1","APP-PS1","APPPS1","Female","4","4",6
"327","gt114a251","Site2","APP-PS1","APPPS1","Female","4","4",5
"328","gt114a252","Site2","APP-PS1","APPPS1","Female","4","4",11
"329","gt115a253","Site2","APP-PS1","APPPS1","Female","4","4",7
"330","gt115a255","Site2","APP-PS1","APPPS1","Female","4","4",9
"331","gt115a256","Site2","APP-PS1","APPPS1","Female","4","4",6
"332","gt116a257","Site2","APP-PS1","APPPS1","Female","4","4",7
"333","gt116a259","Site2","APP-PS1","APPPS1","Female","4","4",10
"334","gt117a262","Site2","APP-PS1","APPPS1","Female","4","4",5
"335","gt117a263","Site2","APP-PS1","APPPS1","Female","4","4",9
"336","lw15x030","Site1","3xTG-AD","B6129SF2/J","Female","4","4",15
"337","lw16x031","Site1","3xTG-AD","B6129SF2/J","Female","4","4",5
"338","lw16x032","Site1","3xTG-AD","B6129SF2/J","Female","4","4",5
"339","lw19x037","Site1","3xTG-AD","B6129SF2/J","Female","4","4",5
"340","lw19x038","Site1","3xTG-AD","B6129SF2/J","Female","4","4",8
"341","lw20x039","Site1","3xTG-AD","B6129SF2/J","Female","4","4",17
"342","lw23x045","Site1","3xTG-AD","B6129SF2/J","Female","4","4",3
"343","lw23x046","Site1","3xTG-AD","B6129SF2/J","Female","4","4",6
"344","lw24x047","Site1","3xTG-AD","B6129SF2/J","Female","4","4",7
"345","lw24x048","Site1","3xTG-AD","B6129SF2/J","Female","4","4",15
"346","gw01x001","Site2","3xTG-AD","B6129SF2/J","Female","4","4",5
"347","gw04x006","Site2","3xTG-AD","B6129SF2/J","Female","4","4",11
"348","gw05x007","Site2","3xTG-AD","B6129SF2/J","Female","4","4",5
"349","gw05x008","Site2","3xTG-AD","B6129SF2/J","Female","4","4",5
"350","gw06x009","Site2","3xTG-AD","B6129SF2/J","Female","4","4",5
"351","gw07x010","Site2","3xTG-AD","B6129SF2/J","Female","4","4",4
"352","gw08x011","Site2","3xTG-AD","B6129SF2/J","Female","4","4",4
"353","gw09x013","Site2","3xTG-AD","B6129SF2/J","Female","4","4",1
"354","gw12x017","Site2","3xTG-AD","B6129SF2/J","Female","4","4",1
"355","gw59x101","Site2","3xTG-AD","B6129SF2/J","Female","4","4",7
"356","gw59x102","Site2","3xTG-AD","B6129SF2/J","Female","4","4",6
"357","gw60x103","Site2","3xTG-AD","B6129SF2/J","Female","4","4",3
"358","gw60x104","Site2","3xTG-AD","B6129SF2/J","Female","4","4",7
"359","lw37f073","Site1","5xFAD","B6SJLF1/J","Female","4","4",6
"360","lw37f074","Site1","5xFAD","B6SJLF1/J","Female","4","4",8
"361","lw38f076","Site1","5xFAD","B6SJLF1/J","Female","4","4",8
"362","lw41f081","Site1","5xFAD","B6SJLF1/J","Female","4","4",6
"363","lw41f082","Site1","5xFAD","B6SJLF1/J","Female","4","4",4
"364","lw42f083","Site1","5xFAD","B6SJLF1/J","Female","4","4",6
"365","lw42f084","Site1","5xFAD","B6SJLF1/J","Female","4","4",5
"366","lw45f089","Site1","5xFAD","B6SJLF1/J","Female","4","4",5
"367","lw45f090","Site1","5xFAD","B6SJLF1/J","Female","4","4",4
"368","lw46f091","Site1","5xFAD","B6SJLF1/J","Female","4","4",14
"369","lw46f092","Site1","5xFAD","B6SJLF1/J","Female","4","4",23
"370","gw01f001","Site2","5xFAD","B6SJLF1/J","Female","4","4",6
"371","gw01f002","Site2","5xFAD","B6SJLF1/J","Female","4","4",4
"372","gw02f003","Site2","5xFAD","B6SJLF1/J","Female","4","4",3
"373","gw03f005","Site2","5xFAD","B6SJLF1/J","Female","4","4",10
"374","gw03f006","Site2","5xFAD","B6SJLF1/J","Female","4","4",4
"375","gw04f007","Site2","5xFAD","B6SJLF1/J","Female","4","4",7
"376","gw04f008","Site2","5xFAD","B6SJLF1/J","Female","4","4",6
