"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"25","LON5C5FAD10MF","lt44f087","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-24,NA,3084.6215,46,33.3333333333333,84.5238095238095,87.5,87.5,55.5555555555556,65,35,65,75,35
"26","LON5C5FAD10MF","lt44f088","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-27,NA,2058.968,50,41.6666666666667,58.3333333333333,52.7777777777778,55,46.6666666666667,40,50,15,0,20
"27","LON5C5FAD10MF","lt47f094","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-15,NA,2005.8985,50,61.9047619047619,76.1904761904762,75,41.6666666666667,63.3333333333333,35,50,55,55,45
"28","LON5C5FAD10MF","lt48f095","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-24,NA,1973.952,50,68.3333333333333,72.3214285714286,68.75,47.9166666666667,65,5,25,20,30,35
"29","LON5C5FAD10MF","lt48f096","Site1","5xFAD","5xFAD","Female","10","0.6",2014-11-27,NA,1341.249,50,32.1428571428571,70,80,75,73.75,55,50,60,35,35
"30","GUE5C5FAD10MF","gt01f001","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,2351.468,50,64.2857142857143,79.1666666666667,70.1388888888889,65.7142857142857,61.6071428571429,30,30,15,40,25
"31","GUE5C5FAD10MF","gt01f002","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-19,NA,2192.7025,50,58.3333333333333,69.047619047619,48.3333333333333,34.2857142857143,43.75,40,35,45,40,20
"32","GUE5C5FAD10MF","gt02f003","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-03,NA,2440.3395,50,49.2857142857143,85,90,51.1904761904762,38.5714285714286,15,25,20,35,40
"33","GUE5C5FAD10MF","gt03f005","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-19,NA,1170.2365,50,58.5714285714286,66.25,42.0634920634921,70.8333333333333,74.6031746031746,15,10,20,15,20
"34","GUE5C5FAD10MF","gt04f007","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-08,NA,1918.0465,50,60.3174603174603,64.5833333333333,85.7142857142857,80,50,20,45,30,55,30
"35","GUE5C5FAD10MF","gt05f008","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,1467.603,50,50,55,100,60.7142857142857,33.3333333333333,20,35,40,25,50
"36","GUE5C5FAD10MF","gt05f009","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-03,NA,1111.242,50,47.1428571428571,67.5,66.6666666666667,75,56.25,40,30,30,25,40
"37","GUE5C5FAD10MF","gt06f010","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-08,NA,1676.047,50,42.0634920634921,60,48.3333333333333,61.9047619047619,19.4444444444444,20,25,20,20,25
"38","GUE5C5FAD10MF","gt07f011","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-13,NA,2037.329,50,66.6666666666667,86.6071428571429,68.3333333333333,78.5714285714286,73.75,25,25,20,25,35
"39","GUE5C5FAD10MF","gt07f012","Site2","5xFAD","5xFAD","Female","10","0.6",2014-11-20,NA,3600,37,53.3333333333333,73.2142857142857,57.5,18.3333333333333,NA,5,25,10,20,NA
"40","LON5CAPP10MF","lt188a250","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1323.25,50,29.3650793650794,25,70.8333333333333,63.3333333333333,85.7142857142857,20,20,50,45,20
"41","LON5CAPP10MF","lt195a257","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-19,NA,1338.0065,50,71.25,75,41.6666666666667,61.1111111111111,75,10,40,35,40,20
"42","LON5CAPP10MF","lt196a258","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,1270.437,50,54.7619047619048,80,72.9166666666667,59.8214285714286,55.5555555555556,20,40,30,25,10
"43","LON5CAPP10MF","lt200a262","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1448.1365,50,40,88.1944444444444,72.2222222222222,67.5,80.3571428571429,50,15,25,35,25
"44","LON5CAPP10MF","lt204a266","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,2585.914,50,30.5555555555556,62.5,85.7142857142857,79.1666666666667,87.5,35,60,45,50,60
"45","LON5CAPP10MF","lt207a269","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,1283.13,50,51.6666666666667,83.3333333333333,92.8571428571429,80.3571428571429,58.3333333333333,20,10,25,45,60
"46","LON5CAPP10MF","lt211a273","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1935.4815,50,53.3333333333333,75.7142857142857,59.0277777777778,85.7142857142857,52.3809523809524,60,40,15,45,35
"47","LON5CAPP10MF","lt212a274","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-18,NA,1617.4195,50,38.3928571428571,69.4444444444445,41.6666666666667,71.4285714285714,60.7142857142857,25,25,65,30,35
"48","GUE5CAPP10MF","gt115a253","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-02-27,NA,1172.764,50,67.8571428571429,90,61.9047619047619,70.2380952380952,72.2222222222222,15,5,20,35,40
"49","GUE5CAPP10MF","gt117a263","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-02-22,NA,1312.1015,50,69.047619047619,92.8571428571429,75,67.7777777777778,76.25,20,20,0,5,10
"50","GUE5CAPP10MF","gt172a401","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-10-13,NA,2101.7745,50,63.3333333333333,81.6666666666667,33.3333333333333,83.3333333333333,100,60,45,70,50,40
"51","GUE5CAPP10MF","gt172a402","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-09-26,NA,2049.0415,50,68.75,94.4444444444444,60.4166666666667,94.4444444444444,75,20,20,30,20,40
"52","LON5C3XTG10MF","lw15x030","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,1441.074,50,50,93.75,87.5,81.7460317460317,70.6349206349206,50,35,45,20,20
"53","LON5C3XTG10MF","lw16x031","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1111.2795,50,62.5,65,52.0833333333333,56.25,55.5555555555556,20,25,30,20,10
"54","LON5C3XTG10MF","lw16x032","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-22,NA,1206.725,50,55.3571428571429,35.7142857142857,50,100,92.8571428571429,45,30,30,35,45
"55","LON5C3XTG10MF","lw19x037","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-09-29,NA,1231.6845,50,55.5555555555556,74.6031746031746,47.2222222222222,77.5,63.0952380952381,10,20,45,55,35
"56","LON5C3XTG10MF","lw19x038","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,1152.035,50,51.25,70,70.8333333333333,63.3333333333333,83.3333333333333,35,50,50,45,55
"57","LON5C3XTG10MF","lw20x039","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1631.594,50,61.1111111111111,76.3888888888889,88.8888888888889,57.6388888888889,58.3333333333333,10,15,10,15,50
"58","LON5C3XTG10MF","lw23x046","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,2272.364,50,55.5555555555556,86.6071428571429,63.8888888888889,51.7857142857143,53.3333333333333,25,25,15,25,45
"59","LON5C3XTG10MF","lw24x047","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1032.32,50,58.9285714285714,87.8571428571429,90,84.4444444444444,83.8888888888889,25,15,5,5,5
"60","LON5C3XTG10MF","lw24x048","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-22,NA,1367.2605,50,7.14285714285714,64.2857142857143,88.8888888888889,77.7777777777778,60.7142857142857,45,30,25,10,45
"61","GUE5C3XTG10MF","gw01x001","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,2109.5495,50,50,50,30,50,62.5,70,70,60,70,70
"62","GUE5C3XTG10MF","gw04x006","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-14,NA,1718.901,50,35,50,37.5,35.7142857142857,37.5,35,40,65,50,65
"63","GUE5C3XTG10MF","gw05x007","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-20,NA,1264.8035,50,77.0833333333333,59.0277777777778,72.8571428571429,87.5,39.2857142857143,15,15,40,35,35
"64","GUE5C3XTG10MF","gw05x008","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,1058.419,50,38.3928571428571,42.8571428571429,50,50,50,25,30,20,25,25
"65","GUE5C3XTG10MF","gw06x009","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-13,NA,2049.088,50,38.3333333333333,60.7142857142857,60.7142857142857,66.6666666666667,78.5714285714286,20,45,25,10,55
"66","GUE5C3XTG10MF","gw07x010","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-20,NA,2084.833,50,43.75,63.8888888888889,73.3333333333333,72.9166666666667,60,40,25,30,30,50
"67","GUE5C3XTG10MF","gw08x011","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,1191.042,50,47.2222222222222,50,56.6666666666667,100,82.8571428571429,25,30,45,50,40
"68","GUE5C3XTG10MF","gw58x097","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-25,NA,1215.512,50,61.25,61.1111111111111,77.7777777777778,82.5,74.4444444444444,10,10,10,10,5
"69","GUE5C3XTG10MF","gw58x098","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-30,NA,1384.8005,50,34.9206349206349,64.5833333333333,64.5833333333333,66.6666666666667,45.8333333333333,20,15,30,50,50
"70","GUE5C3XTG10MF","gw58x099","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-13,NA,3600,42,40,50,25,10,0,50,85,70,60,60
"71","GUE5C3XTG10MF","gw59x101","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-25,NA,1029.262,50,62.2222222222222,90,75,72.7777777777778,75,5,0,0,5,20
"72","GUE5C3XTG10MF","gw59x102","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-30,NA,1087.032,50,72.5,82.6388888888889,77.7777777777778,82.6388888888889,77.7777777777778,10,15,10,15,10
"73","GUE5C3XTG10MF","gw60x103","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-13,NA,1694.998,50,58.9285714285714,75,58.3333333333333,79.1666666666667,87.5,25,25,30,30,45
"74","GUE5C3XTG10MF","gw60x104","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-18,NA,1192.0905,50,43.3333333333333,43.3333333333333,64.5833333333333,73.3333333333333,62.5,30,30,15,5,40
"75","LON5C5FAD10MF","lw37f073","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-05,NA,1493.6055,50,41.6666666666667,87.5,72.5,62.5,69.4444444444444,40,70,30,50,15
"76","LON5C5FAD10MF","lw37f074","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,1890.846,50,19.6428571428571,47.6190476190476,75,58.3333333333333,69.047619047619,45,50,60,60,50
"77","LON5C5FAD10MF","lw41f081","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-05,NA,1464.93,50,60.7142857142857,79.4642857142857,58.3333333333333,91.6666666666667,53.3333333333333,35,25,35,50,45
"78","LON5C5FAD10MF","lw41f082","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,2050.178,50,30.5555555555556,68.75,77.7777777777778,80,76.3888888888889,35,30,50,50,15
"79","LON5C5FAD10MF","lw42f084","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-27,NA,1744.2635,50,48.75,50,83.3333333333333,66.6666666666667,50,35,70,60,55,50
"80","LON5C5FAD10MF","lw45f089","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-12-16,NA,3600,40.5,73.3333333333333,55,83.3333333333333,8.33333333333333,66.6666666666667,45,45,70,30,40
"81","LON5C5FAD10MF","lw45f090","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-15,NA,2665.705,43.5,53.5714285714286,80.1587301587302,64.5833333333333,28.5714285714286,77.7777777777778,25,20,30,30,10
"82","LON5C5FAD10MF","lw46f092","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-24,NA,1699.0335,50,55.5555555555556,56.25,40,80,57.6388888888889,10,10,0,30,15
"83","GUE5C5FAD10MF","gw01f002","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-03,NA,2902.2725,49.5,45,91.6666666666667,81.25,50,70,35,55,40,60,40
"84","GUE5C5FAD10MF","gw02f003","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,1635.757,50,52.7777777777778,47.5,70,47.5,83.3333333333333,5,30,35,35,20
"85","GUE5C5FAD10MF","gw03f005","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-03,NA,1871.4545,50,52.0833333333333,71.6666666666667,69.4444444444445,60.7142857142857,73.75,30,45,25,35,10
